Func Alg Verts Edges Searched_Paths Expanded_Verts
dExpLine EK 274 758 162 40855
dExpLine EK 1058 4031 1268 1276029
dExpLine FF 8 9 0 3
dExpLine FF 22 40 2 42
dExpLine FF 74 137 10 305
dExpLine FF 274 758 1185 97608
dExpLine FF 1058 4031 1742840 549709281
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
dinicBad FF 72 141 71 5113
dinicBad FF 272 541 271 73713
dinicBad FF 1056 2109 1055 1114081
dinicBad EK 6 9 5 21
dinicBad EK 20 37 19 210
dinicBad EK 72 141 71 2628
dinicBad EK 272 541 271 37128
dinicBad EK 1056 2109 1055 558096
dinicBad FF 6 9 5 31
dinicBad FF 20 37 19 381
